X	Y	Z
60.3758535263992	24.5699221313789	58.552842985755
53.5144653807453	27.5350563048775	67.6082039661246
46.9549002044694	12.3884491628332	59.0151960330747
46.3368125381801	36.3108283460256	68.0193477473276
63.4466488096507	-0.423736471327771	86.9047757118163
48.2522369236649	14.8598135194283	73.5996452161578
58.0272885429413	22.9625203647779	61.6219676262966
42.1924909648941	18.1112150455919	61.3650555212834
59.0189650401121	18.4572525202103	77.1606396222783
53.7211066488998	42.7785089108571	74.4011183659507
27.6442618213208	14.3110479123369	75.5575830762347
43.4534162423739	13.8720732844807	56.2352150834323
33.2332467257398	21.0856833007381	85.3395088336549
53.1133716434172	47.0275775862014	67.7301254720297
44.6506493628706	5.84162800058994	68.8474034416476
44.3767774497812	38.8964320507595	71.4001961959559
68.1357791078731	18.7652144627607	68.1543958569455
68.5864823157193	21.4894959786215	79.8536942706108
65.0269853615748	30.875980036061	62.1477154931604
63.9910836317836	29.1551795972635	76.6441210407683
44.6769996456367	38.3191656995957	74.3139395466705
50.3447807892036	19.3251717947801	84.5789776035512
36.3034632313841	41.6807707607712	82.1630980325645
47.6718702247061	1.56472498445596	65.2104965541349
43.8056899295067	20.6586878039051	66.2711115493222
54.2702994360697	26.6275133328797	64.6794728413275
43.1369513175776	3.16210318294581	70.2972392201585
45.4546234265309	11.9316573810145	70.9433243488493
36.9485117736743	2.63124035953877	66.0342573433278
58.4202055781546	29.0025401677584	69.3773054384142
52.1067439883036	19.9228329684337	57.8666932378604
58.9992579349276	-2.39819239324225	65.6513680396943
52.276066174567	3.17959347824011	72.6409531312638
40.8914425499698	16.4975180670337	66.6073842670609
61.1756421046627	-6.03799559492618	71.9807385963628
41.2268753948699	17.8306438023644	70.153893652111
56.8474681255327	14.3303486105438	69.8399123885991
65.0227805041035	7.37531314321134	84.323281408084
32.8211941245067	20.5562029678515	65.5152968944003
56.5422388502901	17.9454403412141	59.0253610423409
48.4316608810212	23.0434448591729	77.4835212873649
48.3057479641791	29.3761183910534	63.5217846760878
39.2278609115833	36.16497331024	82.4837428179232
46.0134821957856	34.2683560594384	88.3150235324473
43.679211960569	14.5560670229804	52.7738808589117
44.6083719595569	5.42589955860552	41.4505876309975
47.7456417979632	28.2329915119305	65.837353764504
35.5410917796853	15.3242426695389	80.7721387550496
46.5755653045918	17.4907967813675	68.1588174995023
50.4854973086132	32.9413588131855	85.9152078749627
37.6716180885257	13.1928937689089	68.7782835591662
49.5834336897264	34.4526129540214	73.5522083000281
51.3893596387465	13.5098799648768	61.8577980582699
32.1290318411504	31.0584960452312	60.6250669824516
38.1083965323074	1.18718037242468	60.2048109610481
58.4831744491207	-1.40506362558732	72.8642515796417
45.8270261713852	15.5712448232068	58.2729868039579
50.4757195170221	14.6000438925448	89.5933292035572
